model,train_loss,train_acc,val_loss,val_acc
my_model_2 bassed on VGG16,8.54500961303711,0.15683333575725555,7.935739040374756,0.4401000142097473
my_model_2 bassed on VGG16,7.821437358856201,0.2826833426952362,7.290755271911621,0.6399000287055969
my_model_2 bassed on VGG16,7.328426361083984,0.38581666350364685,6.757792949676514,0.734000027179718
my_model_2 bassed on VGG16,6.902949810028076,0.468016654253006,6.277231216430664,0.7734000086784363
my_model_2 bassed on VGG16,6.506190299987793,0.541100025177002,5.854301929473877,0.8003000020980835
my_model_2 bassed on VGG16,6.141555309295654,0.6035500168800354,5.524481296539307,0.8141999840736389
my_model_2 bassed on VGG16,5.806751728057861,0.6551333069801331,5.243716239929199,0.826200008392334
my_model_2 bassed on VGG16,5.524216175079346,0.6891166567802429,5.014244079589844,0.8355000019073486
my_model_2 bassed on VGG16,5.268009662628174,0.7148833274841309,4.8016037940979,0.840399980545044
my_model_2 bassed on VGG16,5.033028602600098,0.7385166883468628,4.605338096618652,0.8489999771118164
my_model_2 bassed on VGG16,4.821328163146973,0.7554500102996826,4.4215874671936035,0.8569999933242798
my_model_2 bassed on VGG16,4.6207733154296875,0.7709000110626221,4.252408027648926,0.8597000241279602
my_model_2 bassed on VGG16,4.435946464538574,0.7789999842643738,4.090460777282715,0.8659999966621399
my_model_2 bassed on VGG16,4.263583660125732,0.7893833518028259,3.9424729347229004,0.8672999739646912
my_model_2 bassed on VGG16,4.0997467041015625,0.7989166378974915,3.787318468093872,0.8702999949455261
my_model_2 bassed on VGG16,3.9438107013702393,0.806683361530304,3.6478965282440186,0.8722000122070312
my_model_2 bassed on VGG16,3.7870981693267822,0.8153166770935059,3.5076534748077393,0.8770999908447266
my_model_2 bassed on VGG16,3.644176483154297,0.8184333443641663,3.3845090866088867,0.8788999915122986
my_model_2 bassed on VGG16,3.5072498321533203,0.8256833553314209,3.2547190189361572,0.881600022315979
my_model_2 bassed on VGG16,3.371077060699463,0.8319166898727417,3.1334943771362305,0.8826000094413757
my_model_2 bassed on VGG16,3.2483208179473877,0.835016667842865,3.0226380825042725,0.8841999769210815
my_model_2 bassed on VGG16,3.1270289421081543,0.8385833501815796,2.904256820678711,0.8860999941825867
my_model_2 bassed on VGG16,3.012190103530884,0.8433833122253418,2.8038034439086914,0.885699987411499
my_model_2 bassed on VGG16,2.895195484161377,0.8477333188056946,2.698305368423462,0.8883000016212463
my_model_2 bassed on VGG16,2.7865076065063477,0.8512166738510132,2.6000895500183105,0.890500009059906
my_model_2 bassed on VGG16,2.6840412616729736,0.8540999889373779,2.505284547805786,0.8909000158309937
my_model_2 bassed on VGG16,2.5830025672912598,0.857866644859314,2.4096295833587646,0.8916000127792358
my_model_2 bassed on VGG16,2.4921109676361084,0.8596333265304565,2.323087215423584,0.8924000263214111
my_model_2 bassed on VGG16,2.3968873023986816,0.8638166785240173,2.236233711242676,0.8930000066757202
my_model_2 bassed on VGG16,2.312650680541992,0.8649666905403137,2.1547436714172363,0.8948000073432922
my_model_2 bassed on VGG16,2.2273504734039307,0.8688166737556458,2.080749034881592,0.8949999809265137
my_model_2 bassed on VGG16,2.1406328678131104,0.8712666630744934,2.00567889213562,0.8971999883651733
my_model_2 bassed on VGG16,2.06388521194458,0.8732333183288574,1.9326930046081543,0.8974000215530396
my_model_2 bassed on VGG16,1.9900482892990112,0.874750018119812,1.8630573749542236,0.8984000086784363
my_model_2 bassed on VGG16,1.916873812675476,0.8765333294868469,1.795512080192566,0.8978999853134155
my_model_2 bassed on VGG16,1.842506766319275,0.8806166648864746,1.7327629327774048,0.8981999754905701
my_model_2 bassed on VGG16,1.7782607078552246,0.8821499943733215,1.6718361377716064,0.8978999853134155
my_model_2 bassed on VGG16,1.7174123525619507,0.882016658782959,1.6135494709014893,0.8996999859809875
my_model_2 bassed on VGG16,1.6514579057693481,0.8856666684150696,1.5570465326309204,0.9000999927520752
my_model_2 bassed on VGG16,1.5945467948913574,0.8845000267028809,1.5013316869735718,0.8996000289916992
my_model_2 bassed on VGG16,1.5416911840438843,0.8874499797821045,1.4478503465652466,0.901199996471405
my_model_2 bassed on VGG16,1.4821889400482178,0.8898166418075562,1.3980066776275635,0.9013000130653381
my_model_2 bassed on VGG16,1.4341732263565063,0.8895999789237976,1.3505115509033203,0.9020000100135803
my_model_2 bassed on VGG16,1.3806277513504028,0.8917499780654907,1.3080627918243408,0.9021999835968018
my_model_2 bassed on VGG16,1.3327821493148804,0.8941166400909424,1.2665597200393677,0.9025999903678894
my_model_2 bassed on VGG16,1.2886594533920288,0.8941500186920166,1.2269797325134277,0.9032999873161316
my_model_2 bassed on VGG16,1.2413536310195923,0.8970500230789185,1.1866410970687866,0.9046000242233276
my_model_2 bassed on VGG16,1.1986026763916016,0.8989999890327454,1.1474605798721313,0.9046000242233276
my_model_2 bassed on VGG16,1.1582562923431396,0.899399995803833,1.1135233640670776,0.9041000008583069
my_model_2 bassed on VGG16,1.121798038482666,0.9011333584785461,1.0724831819534302,0.9065999984741211
my_model_2 bassed on VGG16,1.084907054901123,0.9007166624069214,1.0408382415771484,0.9059000015258789
my_model_2 bassed on VGG16,1.048296332359314,0.9032666683197021,1.0073301792144775,0.9060999751091003
my_model_2 bassed on VGG16,1.0166527032852173,0.9038833379745483,0.9819440245628357,0.9070000052452087
my_model_2 bassed on VGG16,0.9821479320526123,0.9049333333969116,0.9498469829559326,0.9057999849319458
my_model_2 bassed on VGG16,0.9527896642684937,0.9069499969482422,0.9269142746925354,0.906000018119812
my_model_2 bassed on VGG16,0.9225437641143799,0.9086166620254517,0.8983644247055054,0.9059000015258789
